sequence_length,molecular_weight,isoelectric_point,aromaticity,global_A,global_B,global_C,global_D,global_E,global_F,global_G,global_H,global_I,global_J,global_K,global_L,global_M,global_N,global_O,global_P,global_Q,global_R,global_S,global_T,global_U,global_V,global_W,global_X,global_Y,global_Z,local_first_50_A,local_first_50_B,local_first_50_C,local_first_50_D,local_first_50_E,local_first_50_F,local_first_50_G,local_first_50_H,local_first_50_I,local_first_50_J,local_first_50_K,local_first_50_L,local_first_50_M,local_first_50_N,local_first_50_O,local_first_50_P,local_first_50_Q,local_first_50_R,local_first_50_S,local_first_50_T,local_first_50_U,local_first_50_V,local_first_50_W,local_first_50_X,local_first_50_Y,local_first_50_Z,local_last_50_A,local_last_50_B,local_last_50_C,local_last_50_D,local_last_50_E,local_last_50_F,local_last_50_G,local_last_50_H,local_last_50_I,local_last_50_J,local_last_50_K,local_last_50_L,local_last_50_M,local_last_50_N,local_last_50_O,local_last_50_P,local_last_50_Q,local_last_50_R,local_last_50_S,local_last_50_T,local_last_50_U,local_last_50_V,local_last_50_W,local_last_50_X,local_last_50_Y,local_last_50_Z
583,65101.519100000085,5.91656494140625,0.08061749571183532,0.04974271012006861,0.0,0.02058319039451115,0.048027444253859346,0.07375643224699828,0.0274442538593482,0.0548885077186964,0.0137221269296741,0.07204116638078903,0.0,0.07890222984562607,0.0823327615780446,0.018867924528301886,0.05317324185248713,0.0,0.0548885077186964,0.032590051457975985,0.032590051457975985,0.08576329331046312,0.07547169811320754,0.0,0.07204116638078903,0.010291595197255575,0.0,0.04288164665523156,0.0,0.06,0.0,0.06,0.04,0.02,0.04,0.08,0.0,0.08,0.0,0.02,0.14,0.02,0.04,0.0,0.06,0.02,0.06,0.1,0.06,0.0,0.06,0.02,0.0,0.04,0.0,0.1,0.0,0.0,0.02,0.1,0.0,0.06,0.04,0.0,0.0,0.16,0.14,0.04,0.1,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.12,0.02,0.0,0.04,0.0
487,53497.72560000003,6.75421142578125,0.0944558521560575,0.06570841889117043,0.0,0.026694045174537988,0.043121149897330596,0.045174537987679675,0.03285420944558522,0.1026694045174538,0.03285420944558522,0.030800821355236138,0.0,0.03490759753593429,0.08418891170431211,0.01642710472279261,0.039014373716632446,0.0,0.07186858316221766,0.059548254620123205,0.049281314168377825,0.08008213552361396,0.049281314168377825,0.0,0.07392197125256673,0.028747433264887063,0.0,0.03285420944558522,0.0,0.06,0.0,0.04,0.0,0.02,0.0,0.12,0.02,0.0,0.0,0.04,0.16,0.04,0.0,0.0,0.12,0.08,0.06,0.06,0.02,0.0,0.06,0.1,0.0,0.02,0.0,0.04,0.0,0.02,0.06,0.02,0.02,0.16,0.06,0.06,0.0,0.06,0.02,0.02,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.16,0.08,0.0,0.08,0.0
141,15653.66009999998,7.83001708984375,0.07092198581560284,0.07801418439716312,0.0,0.014184397163120567,0.09219858156028368,0.028368794326241134,0.04964539007092199,0.07801418439716312,0.02127659574468085,0.028368794326241134,0.0,0.03546099290780142,0.12056737588652482,0.04964539007092199,0.014184397163120567,0.0,0.04964539007092199,0.0425531914893617,0.09219858156028368,0.10638297872340426,0.04964539007092199,0.0,0.028368794326241134,0.0070921985815602835,0.0,0.014184397163120567,0.0,0.08,0.0,0.04,0.14,0.0,0.04,0.06,0.02,0.02,0.0,0.0,0.18,0.06,0.0,0.0,0.02,0.02,0.08,0.12,0.08,0.0,0.06,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.04,0.06,0.12,0.04,0.02,0.0,0.06,0.06,0.06,0.04,0.0,0.04,0.04,0.1,0.08,0.04,0.0,0.0,0.02,0.0,0.04,0.0
546,59559.40550000014,7.26019287109375,0.08608058608058608,0.0695970695970696,0.0,0.027472527472527472,0.03296703296703297,0.047619047619047616,0.038461538461538464,0.08241758241758242,0.03296703296703297,0.038461538461538464,0.0,0.02564102564102564,0.10989010989010989,0.007326007326007326,0.02564102564102564,0.0,0.09706959706959707,0.031135531135531136,0.054945054945054944,0.09706959706959707,0.06227106227106227,0.0,0.07142857142857142,0.038461538461538464,0.0,0.009157509157509158,0.0,0.0,0.0,0.02,0.02,0.06,0.04,0.08,0.02,0.02,0.0,0.0,0.12,0.02,0.06,0.0,0.18,0.06,0.04,0.08,0.06,0.0,0.08,0.02,0.0,0.04,0.0,0.06,0.0,0.0,0.04,0.04,0.02,0.12,0.08,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.26,0.02,0.02,0.1,0.06,0.0,0.04,0.02,0.0,0.0,0.0
382,45937.83700000007,5.74090576171875,0.1806282722513089,0.060209424083769635,0.0,0.03926701570680628,0.05235602094240838,0.06544502617801047,0.07068062827225131,0.04712041884816754,0.01832460732984293,0.041884816753926704,0.0,0.02356020942408377,0.09424083769633508,0.028795811518324606,0.049738219895287955,0.0,0.04450261780104712,0.05235602094240838,0.07853403141361257,0.03664921465968586,0.04450261780104712,0.0,0.041884816753926704,0.03664921465968586,0.0,0.07329842931937172,0.0,0.0,0.0,0.02,0.06,0.08,0.04,0.04,0.0,0.08,0.0,0.04,0.06,0.06,0.1,0.0,0.06,0.02,0.12,0.04,0.04,0.0,0.02,0.04,0.0,0.1,0.0,0.04,0.0,0.04,0.06,0.08,0.06,0.08,0.02,0.06,0.0,0.0,0.08,0.02,0.04,0.0,0.04,0.12,0.06,0.06,0.04,0.0,0.02,0.04,0.0,0.06,0.0
721,79738.11500000043,5.29998779296875,0.054091539528432736,0.06934812760055478,0.0,0.011095700416088766,0.06102635228848821,0.08321775312066575,0.030513176144244106,0.036061026352288486,0.022191400832177532,0.05547850208044383,0.0,0.06934812760055478,0.07212205270457697,0.018030513176144243,0.0638002773925104,0.0,0.0651872399445215,0.036061026352288486,0.04299583911234397,0.11511789181692095,0.06241331484049931,0.0,0.06241331484049931,0.005547850208044383,0.0,0.018030513176144243,0.0,0.06,0.0,0.12,0.08,0.06,0.0,0.06,0.02,0.02,0.0,0.08,0.0,0.02,0.0,0.0,0.04,0.06,0.08,0.08,0.08,0.0,0.12,0.04,0.0,0.0,0.0,0.14,0.0,0.0,0.04,0.02,0.02,0.0,0.0,0.12,0.0,0.08,0.08,0.04,0.12,0.0,0.08,0.1,0.02,0.1,0.02,0.0,0.04,0.0,0.0,0.0,0.0
364,39342.429100000045,8.30609130859375,0.06043956043956044,0.11538461538461539,0.0,0.02197802197802198,0.038461538461538464,0.06593406593406594,0.019230769230769232,0.08241758241758242,0.03021978021978022,0.054945054945054944,0.0,0.07142857142857142,0.09340659340659341,0.01098901098901099,0.038461538461538464,0.0,0.0521978021978022,0.04395604395604396,0.04120879120879121,0.057692307692307696,0.06043956043956044,0.0,0.06043956043956044,0.008241758241758242,0.0,0.03296703296703297,0.0,0.12,0.0,0.0,0.04,0.08,0.0,0.08,0.06,0.1,0.0,0.08,0.08,0.02,0.02,0.0,0.08,0.04,0.04,0.1,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.0,0.08,0.02,0.1,0.02,0.02,0.0,0.1,0.08,0.0,0.06,0.0,0.02,0.06,0.02,0.1,0.02,0.0,0.02,0.02,0.0,0.06,0.0
589,65289.83130000011,5.03033447265625,0.05602716468590832,0.0967741935483871,0.0,0.023769100169779286,0.06112054329371817,0.07979626485568761,0.030560271646859084,0.03395585738539898,0.02037351443123939,0.050933786078098474,0.0,0.05432937181663837,0.13752122241086587,0.023769100169779286,0.03395585738539898,0.0,0.044142614601018676,0.03395585738539898,0.04584040747028863,0.06621392190152801,0.04753820033955857,0.0,0.0899830220713073,0.008488964346349746,0.0,0.01697792869269949,0.0,0.12,0.0,0.0,0.1,0.08,0.0,0.04,0.0,0.08,0.0,0.04,0.18,0.02,0.04,0.0,0.02,0.02,0.08,0.08,0.04,0.0,0.06,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.08,0.06,0.02,0.02,0.0,0.04,0.0,0.1,0.16,0.0,0.04,0.0,0.04,0.1,0.0,0.08,0.06,0.0,0.12,0.0,0.0,0.02,0.0
457,50856.05630000007,6.74346923828125,0.08533916849015317,0.0700218818380744,0.0,0.01312910284463895,0.03282275711159737,0.07439824945295405,0.05689277899343545,0.05470459518599562,0.03282275711159737,0.06345733041575492,0.0,0.05908096280087528,0.11597374179431072,0.02188183807439825,0.045951859956236324,0.0,0.045951859956236324,0.0175054704595186,0.0437636761487965,0.09409190371991247,0.05908096280087528,0.0,0.0700218818380744,0.010940919037199124,0.0,0.0175054704595186,0.0,0.08,0.0,0.0,0.0,0.12,0.04,0.02,0.1,0.12,0.0,0.08,0.06,0.02,0.02,0.0,0.02,0.0,0.0,0.18,0.12,0.0,0.02,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.12,0.02,0.06,0.0,0.04,0.0,0.16,0.1,0.02,0.02,0.0,0.0,0.0,0.1,0.14,0.04,0.0,0.12,0.0,0.0,0.0,0.0
193,20746.1368,5.21197509765625,0.10880829015544041,0.15544041450777202,0.0,0.010362694300518135,0.04145077720207254,0.06735751295336788,0.06217616580310881,0.10880829015544041,0.015544041450777202,0.0051813471502590676,0.0,0.02072538860103627,0.08808290155440414,0.02072538860103627,0.015544041450777202,0.0,0.04145077720207254,0.05181347150259067,0.06217616580310881,0.046632124352331605,0.05699481865284974,0.0,0.08290155440414508,0.025906735751295335,0.0,0.02072538860103627,0.0,0.22,0.0,0.02,0.08,0.02,0.02,0.14,0.02,0.0,0.0,0.04,0.06,0.04,0.0,0.0,0.1,0.04,0.06,0.02,0.04,0.0,0.06,0.0,0.0,0.04,0.0,0.2,0.0,0.0,0.02,0.08,0.06,0.14,0.0,0.0,0.0,0.02,0.12,0.0,0.02,0.0,0.0,0.0,0.08,0.04,0.08,0.0,0.1,0.04,0.0,0.02,0.0
773,88380.64380000053,8.84710693359375,0.11254851228978008,0.06727037516170763,0.0,0.015523932729624839,0.04915912031047866,0.055627425614489,0.04657179818887452,0.06338939197930142,0.029754204398447608,0.0517464424320828,0.0,0.056921086675291076,0.09702457956015524,0.03492884864165589,0.031047865459249677,0.0,0.04398447606727038,0.037516170763260026,0.062095730918499355,0.07373868046571798,0.056921086675291076,0.0,0.06080206985769728,0.02328589909443726,0.0,0.042690815006468305,0.0,0.1,0.0,0.0,0.04,0.04,0.08,0.06,0.06,0.1,0.0,0.08,0.1,0.02,0.02,0.0,0.02,0.06,0.06,0.06,0.04,0.0,0.04,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.04,0.06,0.08,0.06,0.06,0.1,0.0,0.08,0.1,0.02,0.06,0.0,0.02,0.0,0.04,0.16,0.06,0.0,0.02,0.0,0.0,0.02,0.0
380,42592.491600000045,8.79620361328125,0.06315789473684211,0.08157894736842106,0.0,0.015789473684210527,0.042105263157894736,0.1,0.03684210526315789,0.07105263157894737,0.021052631578947368,0.05526315789473684,0.0,0.1,0.09210526315789473,0.02631578947368421,0.021052631578947368,0.0,0.04473684210526316,0.05263157894736842,0.05789473684210526,0.07105263157894737,0.031578947368421054,0.0,0.05263157894736842,0.005263157894736842,0.0,0.021052631578947368,0.0,0.14,0.0,0.0,0.08,0.02,0.04,0.1,0.0,0.14,0.0,0.06,0.06,0.04,0.02,0.0,0.02,0.06,0.06,0.08,0.0,0.0,0.06,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.04,0.04,0.06,0.14,0.0,0.0,0.0,0.24,0.04,0.0,0.0,0.0,0.04,0.04,0.08,0.12,0.08,0.0,0.02,0.0,0.0,0.0,0.0
239,26846.15940000002,8.40386962890625,0.11297071129707112,0.06694560669456066,0.0,0.07112970711297072,0.03765690376569038,0.03765690376569038,0.029288702928870293,0.058577405857740586,0.02092050209205021,0.04184100418410042,0.0,0.0502092050209205,0.07112970711297072,0.016736401673640166,0.07531380753138076,0.0,0.05439330543933055,0.03765690376569038,0.04602510460251046,0.100418410041841,0.05439330543933055,0.0,0.04602510460251046,0.029288702928870293,0.0,0.05439330543933055,0.0,0.08,0.0,0.02,0.04,0.04,0.06,0.02,0.02,0.04,0.0,0.08,0.12,0.02,0.06,0.0,0.02,0.04,0.12,0.12,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.08,0.0,0.02,0.04,0.0,0.08,0.0,0.08,0.08,0.0,0.12,0.0,0.06,0.04,0.02,0.1,0.06,0.0,0.0,0.02,0.0,0.02,0.0
1474,163289.03199999995,6.02764892578125,0.08751696065128901,0.06309362279511534,0.0,0.016960651289009497,0.03595658073270014,0.07055630936227951,0.04206241519674356,0.06173677069199457,0.027137042062415198,0.03934871099050204,0.0,0.060379918588873815,0.09633649932157395,0.017639077340569877,0.04341926729986431,0.0,0.052917232021709636,0.04952510176390773,0.031207598371777476,0.08344640434192672,0.06852103120759837,0.0,0.09430122116689281,0.007462686567164179,0.0,0.037991858887381276,0.0,0.02,0.0,0.02,0.02,0.04,0.0,0.06,0.04,0.0,0.0,0.08,0.28,0.04,0.02,0.0,0.08,0.02,0.0,0.08,0.08,0.0,0.12,0.0,0.0,0.02,0.0,0.1,0.0,0.02,0.1,0.06,0.06,0.02,0.0,0.04,0.0,0.06,0.1,0.0,0.06,0.0,0.06,0.04,0.02,0.04,0.06,0.0,0.1,0.0,0.0,0.08,0.0
329,36804.78250000003,6.30181884765625,0.04559270516717325,0.0790273556231003,0.0,0.00303951367781155,0.07598784194528875,0.0486322188449848,0.030395136778115502,0.03343465045592705,0.0547112462006079,0.0425531914893617,0.0,0.04559270516717325,0.057750759878419454,0.02127659574468085,0.09422492401215805,0.0,0.060790273556231005,0.0729483282674772,0.060790273556231005,0.11550151975683891,0.03951367781155015,0.0,0.0486322188449848,0.0060790273556231,0.0,0.00911854103343465,0.0,0.18,0.0,0.0,0.04,0.02,0.04,0.02,0.0,0.06,0.0,0.04,0.04,0.06,0.04,0.0,0.16,0.1,0.0,0.08,0.1,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.12,0.0,0.0,0.04,0.04,0.0,0.12,0.1,0.02,0.06,0.0,0.04,0.12,0.06,0.08,0.0,0.0,0.08,0.0,0.0,0.02,0.0
145,16157.20069999999,4.51324462890625,0.04827586206896552,0.020689655172413793,0.0,0.034482758620689655,0.14482758620689656,0.0896551724137931,0.027586206896551724,0.07586206896551724,0.006896551724137931,0.041379310344827586,0.0,0.0896551724137931,0.041379310344827586,0.006896551724137931,0.041379310344827586,0.0,0.013793103448275862,0.04827586206896552,0.05517241379310345,0.12413793103448276,0.05517241379310345,0.0,0.06206896551724138,0.006896551724137931,0.0,0.013793103448275862,0.0,0.0,0.0,0.08,0.04,0.02,0.04,0.04,0.02,0.06,0.0,0.22,0.08,0.02,0.06,0.0,0.02,0.02,0.06,0.1,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.24,0.18,0.0,0.08,0.0,0.04,0.0,0.04,0.02,0.0,0.02,0.0,0.0,0.06,0.06,0.14,0.02,0.0,0.06,0.0,0.0,0.02,0.0
617,67916.20490000027,8.95819091796875,0.08914100486223664,0.06158833063209076,0.0,0.006482982171799027,0.06320907617504051,0.04862236628849271,0.05348460291734198,0.1053484602917342,0.017828200972447326,0.04700162074554295,0.0,0.05186385737439222,0.07455429497568881,0.019448946515397084,0.07293354943273905,0.0,0.05186385737439222,0.029173419773095625,0.0713128038897893,0.08103727714748785,0.05348460291734198,0.0,0.055105348460291734,0.008103727714748784,0.0,0.027552674230145867,0.0,0.02,0.0,0.0,0.04,0.06,0.02,0.12,0.02,0.02,0.0,0.12,0.06,0.02,0.08,0.0,0.1,0.04,0.06,0.14,0.02,0.0,0.06,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.04,0.02,0.04,0.24,0.02,0.02,0.0,0.04,0.0,0.0,0.16,0.0,0.02,0.0,0.1,0.14,0.06,0.0,0.0,0.06,0.0,0.04,0.0
457,51168.56820000004,6.43206787109375,0.08096280087527352,0.08315098468271334,0.0,0.019693654266958426,0.045951859956236324,0.11816192560175055,0.04157549234135667,0.09409190371991247,0.02188183807439825,0.045951859956236324,0.0,0.10940919037199125,0.0700218818380744,0.024070021881838075,0.03938730853391685,0.0,0.028446389496717725,0.028446389496717725,0.04814004376367615,0.0437636761487965,0.03938730853391685,0.0,0.05908096280087528,0.006564551422319475,0.0,0.03282275711159737,0.0,0.08,0.0,0.0,0.08,0.1,0.0,0.14,0.02,0.04,0.0,0.1,0.02,0.04,0.04,0.0,0.04,0.02,0.06,0.04,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.02,0.18,0.04,0.04,0.04,0.0,0.0,0.16,0.02,0.04,0.06,0.0,0.02,0.02,0.02,0.06,0.08,0.0,0.06,0.0,0.0,0.02,0.0
1876,214834.38539999956,6.84039306640625,0.13379530916844348,0.07356076759061833,0.0,0.017590618336886993,0.04744136460554371,0.053304904051172705,0.06130063965884861,0.0628997867803838,0.022921108742004266,0.0708955223880597,0.0,0.04371002132196162,0.09328358208955224,0.02931769722814499,0.041044776119402986,0.0,0.04584221748400853,0.042643923240938165,0.054371002132196165,0.060767590618336885,0.054371002132196165,0.0,0.05223880597014925,0.019722814498933903,0.0,0.05277185501066098,0.0,0.06,0.0,0.0,0.12,0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.0,0.1,0.22,0.0,0.04,0.06,0.0,0.02,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.06,0.1,0.06,0.0,0.06,0.06,0.02,0.08,0.0,0.04,0.06,0.0,0.12,0.16,0.0,0.04,0.02,0.0,0.06,0.0
179,21075.20350000001,6.36627197265625,0.1452513966480447,0.027932960893854747,0.0,0.0335195530726257,0.027932960893854747,0.0670391061452514,0.07262569832402235,0.03910614525139665,0.03910614525139665,0.10614525139664804,0.0,0.0670391061452514,0.09497206703910614,0.0335195530726257,0.07262569832402235,0.0,0.0111731843575419,0.0446927374301676,0.01675977653631285,0.0670391061452514,0.055865921787709494,0.0,0.05027932960893855,0.0111731843575419,0.0,0.061452513966480445,0.0,0.0,0.0,0.02,0.04,0.14,0.0,0.04,0.04,0.18,0.0,0.06,0.1,0.02,0.08,0.0,0.02,0.06,0.0,0.04,0.02,0.0,0.02,0.0,0.0,0.14,0.0,0.02,0.0,0.06,0.02,0.04,0.14,0.04,0.06,0.08,0.0,0.04,0.12,0.04,0.08,0.0,0.0,0.04,0.04,0.12,0.0,0.0,0.04,0.0,0.0,0.04,0.0
